"topic","year","state","raw_text","text"
"Topic 1",2018,"United Kingdom","I do recycle but I've been thinking more about the environment and how we can all take small steps to reduce waste and save the planet. We waste so much and by making small changes we can help the planet. 🌍#zerowaste https://t.co/a9HE9lTS9e","recycle think more environment take small step reduce waste save planet waste make small change help planet #zerowaste"
"Topic 1",2019,"United Kingdom","🐰Billy's #ThursdayThoughts are on how we affect our planetIt is easy to say it doesn't affect me that's not my problem or even blaming other generations for their past actionsIn reality everyone makes a difference &amp; we could all due better, even going #zerowasteRT4Billy🐇 https://t.co/0oet6XYg4j","#thursdaythought affect easy say affect problem blame other generation past reality make difference due go"
"Topic 1",2020,"United Kingdom","thisisfreegle: Freegle makes it easy to *not* throw things out.Freegle makes it easy to re-home your unwanted stuff.Freegle makes it easy to find things you need for free.We are part of the #CircularEconomyYou can be too!https://t.co/ac7gN51EUu #ChooseToReuse#ZeroWaste …","thisisfreegle freegle make easy throw thing freegle make easy re unwanted stuff freegle make easy find thing need free part #circulareconomy"
"Topic 2",2019,"United States","🌎 Bring reusable bags to the grocery. Use cloth produce bags instead of #plastic. Buy groceries from bulk bins and fill your own containers. Purchase bulk-sized items rather than individually packaged items in single-use containers. #quitsingleuse #zerowaste","bring reusable bag grocery use cloth produce bag #plastic buy grocery bulk bins fill own container purchase bulk size item package item single use container #zerowaste"
"Topic 2",2018,"United Kingdom","The UK Parliament are removing coffee cups, straws, plastic bags and water bottles from the parliamentary estate. All to be replaced by compostable or reuseable options by 2019! 👍👍https://t.co/9WezTP3MME #bansingleuseplastics #goplasticfree #plasticispollution #zerowaste","uk parliament remove coffee cup straw plastic bag water bottle estate replace compostable reuseable option #bansingleuseplastic #goplasticfree #zerowaste"
"Topic 2",2020,"United States","Glad to see @NYCSpeakerCoJo using a #reusable metal straw. Now he needs to bring @HelenRosenthal Straws By Request bill (936) up for a vote to help NYC #skipthestraw #planetorplastic #refusesingleuse #embracereuse #singleuseplastic #zerowaste #thelaststraw @PlasticsBeyond https://t.co/DvmfWY5Rmm","glad see use #reusable metal straw need bring @helenrosenthal straw request bill vote help #skipthestraw #planetorplastic #refusesingleuse #embracereuse #singleuseplastic #zerowaste #thelaststraw @plasticsbeyond"
"Topic 3",2020,"United Kingdom","FOR SALE | 21LM of 150mm x 300mm Fine Picked Granite Kerb.  The price is £15+VAT per linear meter | Essex https://t.co/vaJFtnnlJn #DIY #construction #enviromate #reuse #upcycle #renovation #circulareconomy #zerowaste #resources #greenbuilding #buildingmaterials https://t.co/uNB6GJAja4","sale fine granite price vat linear meter essex #diy #construction #enviromate #reuse #upcycle #renovation #circulareconomy #zerowaste #resource #greenbuilding #buildingmaterial"
"Topic 3",2019,"United Kingdom","Our new Menswear Collection!Reworked Vintage Sportswear.SS20 📸@adamtitchener #menswear #ss20 #pfw #paris #style #menstyle #mensfashion #reworked #reworkedvintage #ootd #styleblogger #zerowaste #sustainablefashion #vintage #vintageadidas #kappa #comingsoon https://t.co/zE05lgdac5","new menswear collection rework vintage sportswear ss #menswear #ss #paris #style #menstyle #mensfashion #rework #reworkedvintage #ootd #styleblogger #zerowaste #sustainablefashion #vintage #comingsoon"
"Topic 3",2019,"United Kingdom","Our new Menswear Collection!Reworked Vintage Sportswear.SS20 📸@adamtitchener #menswear #ss20 #pfw #paris #style #menstyle #mensfashion #reworked #reworkedvintage #ootd #styleblogger #zerowaste #sustainablefashion #vintage #vintageadidas #kappa #comingsoon","new menswear collection rework vintage sportswear ss #menswear #ss #paris #style #menstyle #mensfashion #rework #reworkedvintage #ootd #styleblogger #zerowaste #sustainablefashion #vintage #comingsoon"
"Topic 4",2018,"United States","Hey #Baltimore! Office of Sustainability is hiring an Equity &amp; Engagement Associate for 12 wks this summer to work on environmental justice &amp; racial equity issues, incl  #zerowaste. https://t.co/pD6ZcFlX40 Scroll down for info. @BCGC @BalimoreCorps @CivicWorksInc @StrongCityBalt","#baltimore office sustainability hire equity engagement associate wk summer work environmental justice equity issue #zerowaste scroll info"
